//Exported ASCII-File
[Header]
FileName = D:\User\DDBB\Lasse\20251010\LysozymeC and PEG8K standard curve remaining samples.wip
GraphName = Spectrum--062--Spec.Data 1 MQ 10mW
SizeX = 1
SizeY = 1
SizeGraph = 2000
PositionUnit = µm
PositionX = 1654.325
PositionY = -1835.7
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	Spectrum--062--Spec.Data 1 MQ 10mW
rel. 1/cm	CCD cts
 1.14660E+03	 6.90000E+02
 1.14900E+03	 6.71000E+02
 1.15140E+03	 6.74000E+02
 1.15380E+03	 6.60000E+02
 1.15619E+03	 6.55000E+02
 1.15859E+03	 6.54000E+02
 1.16099E+03	 6.63000E+02
 1.16338E+03	 6.54000E+02
 1.16578E+03	 6.48000E+02
 1.16817E+03	 6.53000E+02
 1.17056E+03	 6.54000E+02
 1.17296E+03	 6.55000E+02
 1.17535E+03	 6.56000E+02
 1.17774E+03	 6.49000E+02
 1.18013E+03	 6.30000E+02
 1.18252E+03	 6.31000E+02
 1.18491E+03	 6.53000E+02
 1.18730E+03	 6.36000E+02
 1.18968E+03	 6.43000E+02
 1.19207E+03	 6.41000E+02
 1.19446E+03	 6.26000E+02
 1.19684E+03	 6.49000E+02
 1.19923E+03	 6.42000E+02
 1.20161E+03	 6.45000E+02
 1.20400E+03	 6.18000E+02
 1.20638E+03	 6.29000E+02
 1.20876E+03	 6.32000E+02
 1.21114E+03	 6.44000E+02
 1.21352E+03	 6.36000E+02
 1.21590E+03	 6.28000E+02
 1.21828E+03	 6.49000E+02
 1.22066E+03	 6.39000E+02
 1.22304E+03	 6.40000E+02
 1.22541E+03	 6.44000E+02
 1.22779E+03	 6.60000E+02
 1.23017E+03	 6.25000E+02
 1.23254E+03	 6.38000E+02
 1.23492E+03	 6.16000E+02
 1.23729E+03	 6.37000E+02
 1.23966E+03	 6.38000E+02
 1.24204E+03	 6.23000E+02
 1.24441E+03	 6.35000E+02
 1.24678E+03	 6.48000E+02
 1.24915E+03	 6.27000E+02
 1.25152E+03	 6.29000E+02
 1.25389E+03	 6.25000E+02
 1.25625E+03	 6.36000E+02
 1.25862E+03	 6.23000E+02
 1.26099E+03	 6.19000E+02
 1.26335E+03	 6.17000E+02
 1.26572E+03	 6.34000E+02
 1.26808E+03	 6.33000E+02
 1.27045E+03	 6.28000E+02
 1.27281E+03	 6.34000E+02
 1.27517E+03	 6.32000E+02
 1.27754E+03	 6.25000E+02
 1.27990E+03	 6.52000E+02
 1.28226E+03	 6.18000E+02
 1.28462E+03	 6.33000E+02
 1.28698E+03	 6.36000E+02
 1.28934E+03	 6.26000E+02
 1.29169E+03	 6.23000E+02
 1.29405E+03	 6.38000E+02
 1.29641E+03	 6.43000E+02
 1.29876E+03	 6.27000E+02
 1.30112E+03	 6.33000E+02
 1.30347E+03	 6.25000E+02
 1.30583E+03	 6.37000E+02
 1.30818E+03	 6.17000E+02
 1.31053E+03	 6.23000E+02
 1.31288E+03	 6.13000E+02
 1.31523E+03	 6.18000E+02
 1.31758E+03	 6.31000E+02
 1.31993E+03	 6.22000E+02
 1.32228E+03	 6.29000E+02
 1.32463E+03	 6.24000E+02
 1.32698E+03	 6.26000E+02
 1.32933E+03	 6.19000E+02
 1.33167E+03	 6.16000E+02
 1.33402E+03	 6.42000E+02
 1.33636E+03	 6.39000E+02
 1.33871E+03	 6.32000E+02
 1.34105E+03	 6.25000E+02
 1.34339E+03	 6.20000E+02
 1.34573E+03	 6.41000E+02
 1.34808E+03	 6.28000E+02
 1.35042E+03	 6.27000E+02
 1.35276E+03	 6.18000E+02
 1.35510E+03	 6.35000E+02
 1.35743E+03	 6.18000E+02
 1.35977E+03	 6.36000E+02
 1.36211E+03	 6.32000E+02
 1.36445E+03	 6.26000E+02
 1.36678E+03	 6.12000E+02
 1.36912E+03	 6.52000E+02
 1.37145E+03	 6.24000E+02
 1.37379E+03	 6.39000E+02
 1.37612E+03	 6.25000E+02
 1.37845E+03	 6.19000E+02
 1.38079E+03	 6.30000E+02
 1.38312E+03	 6.33000E+02
 1.38545E+03	 6.14000E+02
 1.38778E+03	 6.37000E+02
 1.39011E+03	 6.50000E+02
 1.39244E+03	 6.36000E+02
 1.39476E+03	 6.28000E+02
 1.39709E+03	 6.15000E+02
 1.39942E+03	 6.12000E+02
 1.40174E+03	 6.36000E+02
 1.40407E+03	 6.27000E+02
 1.40639E+03	 6.30000E+02
 1.40872E+03	 6.22000E+02
 1.41104E+03	 6.34000E+02
 1.41336E+03	 6.24000E+02
 1.41569E+03	 6.16000E+02
 1.41801E+03	 6.37000E+02
 1.42033E+03	 6.37000E+02
